table_name,table_description_ko,table_description_en,domain,keywords,sample_queries
IMCN_JIG_REPAIR_IMAGE,지그 수리 이미지 테이블. 지그 관련 정보를 관리한다.,JIG Repair Image table. Manages jig repair image information.,설비/보전,IMAGE JIG REPAIR 설비 수리 이미지 장비 지그,지그 정보 조회|지그 현황
IMCN_JIG_SQUEZE_CHECK,지그 SQUEZE 검사/확인 테이블. 지그 검사 결과를 기록한다.,JIG SQUEZE Check table. Manages jig squeze check information.,설비/보전,CHECK JIG SQUEZE 검사 설비 장비 지그,지그 검사 결과|지그 검사 현황
IMCN_JIG_TEMP,지그 온도 테이블. 지그 관련 정보를 관리한다.,JIG Temperature table. Manages jig temperature information.,설비/보전,JIG TEMP 설비 온도 장비 지그,지그 정보 조회|지그 현황
IMCN_MACHINE,설비 테이블. 설비 관련 정보를 관리한다.,Machine table. Manages machine information.,설비/보전,MACHINE 설비 장비,설비 정보 조회|설비 현황
IMCN_MACHINE_CALIBRATION,설비 교정 테이블. 설비 관련 정보를 관리한다.,Machine Calibration table. Manages machine calibration information.,설비/보전,CALIBRATION MACHINE 교정 설비 장비,설비 정보 조회|설비 현황
IMCN_MACHINE_CALIBRATION_IMAGE,설비 교정 이미지 테이블. 설비 관련 정보를 관리한다.,Machine Calibration Image table. Manages machine calibration image information.,설비/보전,CALIBRATION IMAGE MACHINE 교정 설비 이미지 장비,설비 정보 조회|설비 현황
IMCN_MACHINE_DAILY_OPERATION,설비 일일 OPERATION 테이블. 설비 관련 정보를 관리한다.,Machine Daily OPERATION table. Manages machine daily operation information.,설비/보전,DAILY MACHINE OPERATION 설비 일일 장비,설비 정보 조회|설비 현황
IMCN_MACHINE_PM_MASTER,설비 예방보전 마스터 테이블. 설비 예방보전 정보를 관리한다.,Machine Preventive Maintenance master table. Manages machine preventive maintenance information.,설비/보전,MACHINE MASTER 마스터 설비 예방보전 장비,설비 정보 조회|설비 목록
IMCN_MACHINE_PM_MASTER_HIST,설비 예방보전 마스터 테이블. 설비 예방보전 정보를 관리한다.,Machine Preventive Maintenance master table. Manages machine preventive maintenance information.,설비/보전,HIST MACHINE MASTER 마스터 설비 예방보전 이력 장비,설비 이력 조회|설비 변경 이력
IMCN_MACHINE_REPAIR,설비 수리 테이블. 설비 관련 정보를 관리한다.,Machine Repair table. Manages machine repair information.,설비/보전,MACHINE REPAIR 설비 수리 장비,설비 정보 조회|설비 현황
IMCN_MACHINE_REPAIR_IMAGE,설비 수리 이미지 테이블. 설비 관련 정보를 관리한다.,Machine Repair Image table. Manages machine repair image information.,설비/보전,IMAGE MACHINE REPAIR 설비 수리 이미지 장비,설비 정보 조회|설비 현황
IMCN_MACHINE_SOFT_VERSION,설비 SOFT 버전 테이블. 설비 관련 정보를 관리한다.,Machine SOFT Version table. Manages machine soft version information.,설비/보전,MACHINE SOFT VERSION 버전 설비 장비,설비 정보 조회|설비 현황
IMCN_MACHINE_WORK_DATA,설비 작업 데이터 테이블. 설비 작업 관련 데이터를 저장한다.,Machine Work data table. Stores machine work data.,설비/보전,DATA MACHINE WORK 데이터 설비 작업 장비,설비 정보 조회|설비 현황
IMCN_MOLD,금형 테이블. 금형 관련 정보를 관리한다.,Mold table. Manages mold information.,설비/보전,MOLD 금형 설비 장비,금형 정보 조회|금형 현황
IMCN_MOLD_BILL,금형 BILL 테이블. 금형 관련 정보를 관리한다.,Mold BILL table. Manages mold bill information.,설비/보전,BILL MOLD 금형 설비 장비,금형 정보 조회|금형 현황
IMCN_MOLD_CHECK_HISTORY,금형 검사/확인 이력 테이블. 금형 검사/확인 변경/처리 이력을 기록한다.,Mold Check history table. Records mold check change history.,설비/보전,CHECK HISTORY MOLD 검사 금형 설비 이력 장비,금형 이력 조회|금형 변경 이력
IMCN_MOLD_ECO_LINK,금형 ECO LINK 테이블. 금형 관련 정보를 관리한다.,Mold ECO LINK table. Manages mold eco link information.,설비/보전,ECO LINK MOLD 금형 설비 장비,금형 정보 조회|금형 현황
IMCN_MOLD_INVENTORY,금형 재고 테이블. 금형 관련 정보를 관리한다.,Mold Inventory table. Manages mold inventory information.,설비/보전,INVENTORY MOLD 금형 설비 장비 재고,금형 정보 조회|금형 현황
IMCN_MOLD_ISSUE,금형 출고 테이블. 금형 관련 정보를 관리한다.,Mold Issue table. Manages mold issue information.,설비/보전,ISSUE MOLD 금형 설비 장비 출고,금형 정보 조회|금형 현황
IMCN_MOLD_LOCATION,금형 위치 테이블. 금형 관련 정보를 관리한다.,Mold Location table. Manages mold location information.,설비/보전,LOCATION MOLD 금형 설비 위치 장비,금형 정보 조회|금형 현황
IMCN_MOLD_PURCHASE_ORDER,금형 구매 발주 테이블. 금형 관련 정보를 관리한다.,Mold Purchase Order table. Manages mold purchase order information.,설비/보전,MOLD ORDER PURCHASE 구매 금형 발주 설비 장비,금형 정보 조회|금형 현황
IMCN_MOLD_RECEIPT,금형 입고 테이블. 금형 관련 정보를 관리한다.,Mold Receipt table. Manages mold receipt information.,설비/보전,MOLD RECEIPT 금형 설비 입고 장비,금형 정보 조회|금형 현황
IMCN_MOLD_RENT,금형 RENT 테이블. 금형 관련 정보를 관리한다.,Mold RENT table. Manages mold rent information.,설비/보전,MOLD RENT 금형 설비 장비,금형 정보 조회|금형 현황
IMCN_MOLD_REPAIR,금형 수리 테이블. 금형 관련 정보를 관리한다.,Mold Repair table. Manages mold repair information.,설비/보전,MOLD REPAIR 금형 설비 수리 장비,금형 정보 조회|금형 현황
IMCN_MOLD_REPAIR_IMAGE,금형 수리 이미지 테이블. 금형 관련 정보를 관리한다.,Mold Repair Image table. Manages mold repair image information.,설비/보전,IMAGE MOLD REPAIR 금형 설비 수리 이미지 장비,금형 정보 조회|금형 현황
IMCN_MOLD_REPAIR_ITEM,금형 수리 품목 테이블. 금형 관련 정보를 관리한다.,Mold Repair Item table. Manages mold repair item information.,설비/보전,ITEM MOLD REPAIR 금형 설비 수리 장비 품목,금형 정보 조회|금형 현황
IMCN_MOLD_REQUEST,금형 REQUEST 테이블. 금형 관련 정보를 관리한다.,Mold REQUEST table. Manages mold request information.,설비/보전,MOLD REQUEST 금형 설비 장비,금형 정보 조회|금형 현황
IMCN_MOLD_REQUIREMENT_PLAN,금형 REQUIREMENT 계획 테이블. 금형 계획 정보를 관리한다.,Mold REQUIREMENT Plan table. Manages mold requirement plan information.,설비/보전,MOLD PLAN REQUIREMENT 계획 금형 설비 장비,금형 계획 조회|당일 금형 계획
IMCN_MOLD_REQUIR_PLAN_TEMP,금형 REQUIR 계획 온도 테이블. 금형 계획 정보를 관리한다.,Mold REQUIR Plan table. Manages mold requir plan information.,설비/보전,MOLD PLAN REQUIR TEMP 계획 금형 설비 온도 장비,금형 계획 조회|당일 금형 계획
IMCN_MOLD_SHORT_HISTORY,금형 SHORT 이력 테이블. 금형 SHORT 변경/처리 이력을 기록한다.,Mold SHORT history table. Records mold short change history.,설비/보전,HISTORY MOLD SHORT 금형 설비 이력 장비,금형 이력 조회|금형 변경 이력
IMCN_MOLD_TEMP,금형 온도 테이블. 금형 관련 정보를 관리한다.,Mold Temperature table. Manages mold temperature information.,설비/보전,MOLD TEMP 금형 설비 온도 장비,금형 정보 조회|금형 현황
IMCN_MOLD_UNIT_PRICE,금형 UNIT PRICE 테이블. 금형 관련 정보를 관리한다.,Mold UNIT PRICE table. Manages mold unit price information.,설비/보전,MOLD PRICE UNIT 금형 설비 장비,금형 정보 조회|금형 현황
IMCN_PM_CALENDAR,예방보전 CALENDAR 테이블. 예방보전 관련 정보를 관리한다.,Preventive Maintenance CALENDAR table. Manages preventive maintenance calendar information.,설비/보전,CALENDAR 설비 예방보전 장비,예방보전 정보 조회|예방보전 현황
IMCN_PM_RESULT,예방보전 실적 테이블. 예방보전 실적 데이터를 기록한다.,Preventive Maintenance result table. Stores preventive maintenance result data.,설비/보전,RESULT 설비 실적 예방보전 장비,예방보전 실적 조회|일일 예방보전 실적
IMCN_SAMPLE,SAMPLE 테이블. SAMPLE 관련 정보를 관리한다.,SAMPLE table. Manages sample information.,설비/보전,SAMPLE 설비 장비,SAMPLE 정보 조회|SAMPLE 현황
IMCN_SAMPLE_APPLY_MODEL,SAMPLE APPLY 모델 테이블. SAMPLE 관련 정보를 관리한다.,SAMPLE APPLY Model table. Manages sample apply model information.,설비/보전,APPLY MODEL SAMPLE 모델 설비 장비,SAMPLE 정보 조회|SAMPLE 현황
IMCN_SAMPLE_BCR_INPUT_HIST,SAMPLE BCR INPUT 이력 테이블. SAMPLE BCR INPUT 변경/처리 이력을 기록한다.,SAMPLE BCR INPUT history table. Records sample bcr input change history.,설비/보전,BCR HIST INPUT SAMPLE 설비 이력 장비,SAMPLE 이력 조회|SAMPLE 변경 이력
IMCN_SAMPLE_INPUT_HIST,SAMPLE INPUT 이력 테이블. SAMPLE INPUT 변경/처리 이력을 기록한다.,SAMPLE INPUT history table. Records sample input change history.,설비/보전,HIST INPUT SAMPLE 설비 이력 장비,SAMPLE 이력 조회|SAMPLE 변경 이력
IMCN_SAMPLE_TEST,SAMPLE TEST 테이블. SAMPLE 관련 정보를 관리한다.,SAMPLE TEST table. Manages sample test information.,설비/보전,SAMPLE TEST 설비 장비,SAMPLE 정보 조회|SAMPLE 현황
IMCN_SAMPLE_TEST_OLD,SAMPLE TEST OLD 테이블. SAMPLE 관련 정보를 관리한다.,SAMPLE TEST OLD table. Manages sample test old information.,설비/보전,OLD SAMPLE TEST 설비 장비,SAMPLE 정보 조회|SAMPLE 현황
IMCN_TEMPERATURE_CHECK_MASTER,TEMPERATURE 검사/확인 마스터 테이블. TEMPERATURE 검사/확인 정보를 관리한다.,TEMPERATURE Check master table. Manages temperature check information.,설비/보전,CHECK MASTER TEMPERATURE 검사 마스터 설비 장비,TEMPERATURE 정보 조회|TEMPERATURE 목록
IMCN_WEEKLY_PM_CALENDAR,WEEKLY 예방보전 CALENDAR 테이블. WEEKLY 관련 정보를 관리한다.,WEEKLY Preventive Maintenance CALENDAR table. Manages weekly preventive maintenance calendar information.,설비/보전,CALENDAR WEEKLY 설비 예방보전 장비,WEEKLY 정보 조회|WEEKLY 현황
IMCN_WEEKLY_PM_RESULT,WEEKLY 예방보전 실적 테이블. WEEKLY 예방보전 실적 데이터를 기록한다.,WEEKLY Preventive Maintenance result table. Stores weekly preventive maintenance result data.,설비/보전,RESULT WEEKLY 설비 실적 예방보전 장비,WEEKLY 실적 조회|일일 WEEKLY 실적
IM_ASSY_INVENTORY_CHECK_BCD,ASSY 재고 검사/확인 BCD 테이블. ASSY 검사 결과를 기록한다.,ASSY Inventory Check table. Manages assy inventory check information.,기타,ASSY BCD CHECK INVENTORY 검사 재고,ASSY 검사 결과|ASSY 검사 현황
IM_INVENTORY_CLOSE_SETTING,재고 CLOSE 설정 테이블. 재고 관련 정보를 관리한다.,Inventory CLOSE Setting table. Manages inventory close setting information.,기타,CLOSE INVENTORY SETTING 설정 재고,재고 정보 조회|재고 현황
IM_ITEM_ARRIVAL,품목 도착 테이블. 품목 관련 정보를 관리한다.,Item Arrival table. Manages item arrival information.,재고,ARRIVAL ITEM 도착 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_ARRIVAL_GEN,품목 도착 GEN 테이블. 품목 관련 정보를 관리한다.,Item Arrival GEN table. Manages item arrival gen information.,재고,ARRIVAL GEN ITEM 도착 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_ASSEMBLY_REQUIR_ORDER,품목 ASSEMBLY REQUIR 발주 테이블. 품목 관련 정보를 관리한다.,Item ASSEMBLY REQUIR table. Manages item assembly requir information.,재고,ASSEMBLY ITEM ORDER REQUIR 발주 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_BAD_INVENTORY,품목 BAD 재고 테이블. 품목 관련 정보를 관리한다.,Item BAD Inventory table. Manages item bad inventory information.,재고,BAD INVENTORY ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_BAKING_MASTER,품목 베이킹 마스터 테이블. 품목 베이킹 정보를 관리한다.,Item Baking master table. Manages item baking information.,재고,BAKING ITEM MASTER 마스터 베이킹 입고 재고 품목,품목 정보 조회|품목 목록|재고 현황 조회
IM_ITEM_BARCODE_XRAY_RETURN,품목 바코드 XRAY RETURN 테이블. 품목 관련 정보를 관리한다.,Item Barcode XRAY table. Manages item barcode xray information.,재고,BARCODE ITEM RETURN XRAY 바코드 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_BILL_COLLECTION,품목 BILL COLLECTION 테이블. 품목 관련 정보를 관리한다.,Item BILL COLLECTION table. Manages item bill collection information.,재고,BILL COLLECTION ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_BILL_DISBURSE,품목 BILL DISBURSE 테이블. 품목 관련 정보를 관리한다.,Item BILL DISBURSE table. Manages item bill disburse information.,재고,BILL DISBURSE ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_CURRENT_UNIT_PRICE,품목 CURRENT UNIT PRICE 테이블. 품목 관련 정보를 관리한다.,Item CURRENT UNIT table. Manages item current unit information.,재고,CURRENT ITEM PRICE UNIT 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_CURRENT_UNIT_PRICE_4_S,품목 CURRENT UNIT PRICE 테이블. 품목 관련 정보를 관리한다.,Item CURRENT UNIT table. Manages item current unit information.,재고,CURRENT ITEM PRICE UNIT 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_DETAIL_4_PROFIT_COST,품목 상세 PROFIT COST 테이블. 품목 관련 정보를 관리한다.,Item Detail PROFIT table. Manages item detail profit information.,재고,COST DETAIL ITEM PROFIT 상세 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_DIRECT_ORDER,품목 DIRECT 발주 테이블. 품목 관련 정보를 관리한다.,Item DIRECT Order table. Manages item direct order information.,재고,DIRECT ITEM ORDER 발주 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_DIVIDE_HIST,품목 DIVIDE 이력 테이블. 품목 DIVIDE 변경/처리 이력을 기록한다.,Item DIVIDE history table. Records item divide change history.,재고,DIVIDE HIST ITEM 이력 입고 재고 품목,품목 이력 조회|품목 변경 이력|재고 현황 조회
IM_ITEM_EPOXY_INPUT_HIST,품목 EPOXY INPUT 이력 테이블. 품목 EPOXY INPUT 변경/처리 이력을 기록한다.,Item EPOXY INPUT history table. Records item epoxy input change history.,재고,EPOXY HIST INPUT ITEM 이력 입고 재고 품목,품목 이력 조회|품목 변경 이력|재고 현황 조회
IM_ITEM_EPOXY_MASTER,품목 EPOXY 마스터 테이블. 품목 EPOXY 정보를 관리한다.,Item EPOXY master table. Manages item epoxy information.,재고,EPOXY ITEM MASTER 마스터 입고 재고 품목,품목 정보 조회|품목 목록|재고 현황 조회
IM_ITEM_EXPENSE_COST_DISTRIBUT,품목 EXPENSE COST DISTRIBUT 테이블. 품목 관련 정보를 관리한다.,Item EXPENSE COST table. Manages item expense cost information.,재고,COST DISTRIBUT EXPENSE ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FBACK_INVENTORY,품목 FBACK 재고 테이블. 품목 관련 정보를 관리한다.,Item FBACK Inventory table. Manages item fback inventory information.,재고,FBACK INVENTORY ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FBACK_INVENTORY_CHECK,품목 FBACK 재고 검사/확인 테이블. 품목 검사 결과를 기록한다.,Item FBACK Inventory table. Manages item fback inventory information.,재고,CHECK FBACK INVENTORY ITEM 검사 입고 재고 품목,품목 검사 결과|품목 검사 현황|재고 현황 조회
IM_ITEM_FBACK_INVENTORY_CLOSE,품목 FBACK 재고 CLOSE 테이블. 품목 관련 정보를 관리한다.,Item FBACK Inventory table. Manages item fback inventory information.,재고,CLOSE FBACK INVENTORY ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FBACK_INV_CLOSE_MFS,품목 FBACK INV CLOSE 테이블. 품목 관련 정보를 관리한다.,Item FBACK INV table. Manages item fback inv information.,재고,CLOSE FBACK INV ITEM MFS 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FBACK_ISSUE,품목 FBACK 출고 테이블. 품목 관련 정보를 관리한다.,Item FBACK Issue table. Manages item fback issue information.,재고,FBACK ISSUE ITEM 입고 재고 출고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FBACK_RECEIPT,품목 FBACK 입고 테이블. 품목 관련 정보를 관리한다.,Item FBACK Receipt table. Manages item fback receipt information.,재고,FBACK ITEM RECEIPT 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FREE_INVENTORY,품목 FREE 재고 테이블. 품목 관련 정보를 관리한다.,Item FREE Inventory table. Manages item free inventory information.,재고,FREE INVENTORY ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FREE_INVENTORY_CHECK,품목 FREE 재고 검사/확인 테이블. 품목 검사 결과를 기록한다.,Item FREE Inventory table. Manages item free inventory information.,재고,CHECK FREE INVENTORY ITEM 검사 입고 재고 품목,품목 검사 결과|품목 검사 현황|재고 현황 조회
IM_ITEM_FREE_INVENTORY_CLOSE,품목 FREE 재고 CLOSE 테이블. 품목 관련 정보를 관리한다.,Item FREE Inventory table. Manages item free inventory information.,재고,CLOSE FREE INVENTORY ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FREE_INVENTORY_MFS,품목 FREE 재고 MFS 테이블. 품목 관련 정보를 관리한다.,Item FREE Inventory table. Manages item free inventory information.,재고,FREE INVENTORY ITEM MFS 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FREE_INV_CLOSE_MFS,품목 FREE INV CLOSE 테이블. 품목 관련 정보를 관리한다.,Item FREE INV table. Manages item free inv information.,재고,CLOSE FREE INV ITEM MFS 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FREE_ISSUE,품목 FREE 출고 테이블. 품목 관련 정보를 관리한다.,Item FREE Issue table. Manages item free issue information.,재고,FREE ISSUE ITEM 입고 재고 출고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FREE_RCV_4_BASE_INV,품목 FREE RCV BASE 테이블. 품목 관련 정보를 관리한다.,Item FREE RCV table. Manages item free rcv information.,재고,BASE FREE INV ITEM RCV 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_FREE_RECEIPT,품목 FREE 입고 테이블. 품목 관련 정보를 관리한다.,Item FREE Receipt table. Manages item free receipt information.,재고,FREE ITEM RECEIPT 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY,품목 재고 테이블. 품목 관련 정보를 관리한다.,Item Inventory table. Manages item inventory information.,재고,INVENTORY ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_4_TIME,품목 재고 TIME 테이블. 품목 관련 정보를 관리한다.,Item Inventory TIME table. Manages item inventory time information.,재고,INVENTORY ITEM TIME 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_BACK_MINUS_230614,품목 재고 BACK MINUS 테이블. 품목 관련 정보를 관리한다.,Item Inventory BACK table. Manages item inventory back information.,재고,230614 BACK INVENTORY ITEM MINUS 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_BARCODE,품목 재고 바코드 테이블. 품목 관련 정보를 관리한다.,Item Inventory Barcode table. Manages item inventory barcode information.,재고,BARCODE INVENTORY ITEM 바코드 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_CHECK,품목 재고 검사/확인 테이블. 품목 검사 결과를 기록한다.,Item Inventory Check table. Manages item inventory check information.,재고,CHECK INVENTORY ITEM 검사 입고 재고 품목,품목 검사 결과|품목 검사 현황|재고 현황 조회
IM_ITEM_INVENTORY_CHECK_BCD,품목 재고 검사/확인 BCD 테이블. 품목 검사 결과를 기록한다.,Item Inventory Check table. Manages item inventory check information.,재고,BCD CHECK INVENTORY ITEM 검사 입고 재고 품목,품목 검사 결과|품목 검사 현황|재고 현황 조회
IM_ITEM_INVENTORY_CHECK_EXCEL,품목 재고 검사/확인 EXCEL 테이블. 품목 검사 결과를 기록한다.,Item Inventory Check table. Manages item inventory check information.,재고,CHECK EXCEL INVENTORY ITEM 검사 입고 재고 품목,품목 검사 결과|품목 검사 현황|재고 현황 조회
IM_ITEM_INVENTORY_CHECK_MANUAL,품목 재고 검사/확인 MANUAL 테이블. 품목 검사 결과를 기록한다.,Item Inventory Check table. Manages item inventory check information.,재고,CHECK INVENTORY ITEM MANUAL 검사 입고 재고 품목,품목 검사 결과|품목 검사 현황|재고 현황 조회
IM_ITEM_INVENTORY_CLOSE,품목 재고 CLOSE 테이블. 품목 관련 정보를 관리한다.,Item Inventory CLOSE table. Manages item inventory close information.,재고,CLOSE INVENTORY ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_CLOSE_MFS,품목 재고 CLOSE MFS 테이블. 품목 관련 정보를 관리한다.,Item Inventory CLOSE table. Manages item inventory close information.,재고,CLOSE INVENTORY ITEM MFS 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_CLOSE_MV,품목 재고 CLOSE MV 테이블. 품목 관련 정보를 관리한다.,Item Inventory CLOSE table. Manages item inventory close information.,재고,CLOSE INVENTORY ITEM MV 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_GEN,품목 재고 GEN 테이블. 품목 관련 정보를 관리한다.,Item Inventory GEN table. Manages item inventory gen information.,재고,GEN INVENTORY ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_HISTORY,품목 재고 이력 테이블. 품목 재고 변경/처리 이력을 기록한다.,Item Inventory history table. Records item inventory change history.,재고,HISTORY INVENTORY ITEM 이력 입고 재고 품목,품목 이력 조회|품목 변경 이력|재고 현황 조회
IM_ITEM_INVENTORY_HOLD,품목 재고 HOLD 테이블. 품목 관련 정보를 관리한다.,Item Inventory HOLD table. Manages item inventory hold information.,재고,HOLD INVENTORY ITEM 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_LEDGER_REGEN,품목 재고 LEDGER REGEN 테이블. 품목 관련 정보를 관리한다.,Item Inventory LEDGER table. Manages item inventory ledger information.,재고,INVENTORY ITEM LEDGER REGEN 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_MERGE,품목 재고 MERGE 테이블. 품목 관련 정보를 관리한다.,Item Inventory MERGE table. Manages item inventory merge information.,재고,INVENTORY ITEM MERGE 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INVENTORY_MOVE_HIST,품목 재고 MOVE 이력 테이블. 품목 재고 MOVE 변경/처리 이력을 기록한다.,Item Inventory MOVE history table. Records item inventory move change history.,재고,HIST INVENTORY ITEM MOVE 이력 입고 재고 품목,품목 이력 조회|품목 변경 이력|재고 현황 조회
IM_ITEM_INVENTORY_SCAN,품목 재고 SCAN 테이블. 품목 관련 정보를 관리한다.,Item Inventory SCAN table. Manages item inventory scan information.,재고,INVENTORY ITEM SCAN 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_INV_CHECK_INPUT_QTY,품목 INV 검사/확인 INPUT 테이블. 품목 검사 결과를 기록한다.,Item INV Check table. Manages item inv check information.,재고,CHECK INPUT INV ITEM QTY 검사 입고 재고 품목,품목 검사 결과|품목 검사 현황|재고 현황 조회
IM_ITEM_ISSUE,품목 출고 테이블. 품목 관련 정보를 관리한다.,Item Issue table. Manages item issue information.,재고,ISSUE ITEM 입고 재고 출고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_ISSUE_LEDGER_REGEN,품목 출고 LEDGER REGEN 테이블. 품목 관련 정보를 관리한다.,Item Issue LEDGER table. Manages item issue ledger information.,재고,ISSUE ITEM LEDGER REGEN 입고 재고 출고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_ISSUE_LOSS,품목 출고 LOSS 테이블. 품목 관련 정보를 관리한다.,Item Issue LOSS table. Manages item issue loss information.,재고,ISSUE ITEM LOSS 입고 재고 출고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_ISSUE_RETURN_REQUEST,품목 출고 RETURN REQUEST 테이블. 품목 관련 정보를 관리한다.,Item Issue RETURN table. Manages item issue return information.,재고,ISSUE ITEM REQUEST RETURN 입고 재고 출고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_LEDGER,품목 LEDGER 테이블. 품목 관련 정보를 관리한다.,Item LEDGER table. Manages item ledger information.,재고,ITEM LEDGER 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_LOCATION,품목 위치 테이블. 품목 관련 정보를 관리한다.,Item Location table. Manages item location information.,재고,ITEM LOCATION 위치 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
IM_ITEM_LOCATION_MOVE_HIST,품목 위치 MOVE 이력 테이블. 품목 위치 MOVE 변경/처리 이력을 기록한다.,Item Location MOVE history table. Records item location move change history.,재고,HIST ITEM LOCATION MOVE 위치 이력 입고 재고 품목,품목 이력 조회|품목 변경 이력|재고 현황 조회
IM_ITEM_MANUAL_INPUT_HISTORY,품목 MANUAL INPUT 이력 테이블. 품목 MANUAL INPUT 변경/처리 이력을 기록한다.,Item MANUAL INPUT history table. Records item manual input change history.,재고,HISTORY INPUT ITEM MANUAL 이력 입고 재고 품목,품목 이력 조회|품목 변경 이력|재고 현황 조회
IM_ITEM_MASTER,품목 마스터 테이블. 품목 정보를 관리한다.,Item master table. Manages item information.,재고,ITEM MASTER 마스터 입고 재고 품목,품목 정보 조회|품목 목록|재고 현황 조회
IM_ITEM_MASTER_BACKUP,품목 백업 마스터 테이블. 품목 백업 정보를 관리한다.,Item Backup master table. Manages item backup information.,재고,BACKUP ITEM MASTER 마스터 백업 입고 재고 품목,품목 정보 조회|품목 목록|재고 현황 조회
IM_ITEM_MASTER_PLAN_4_PO,품목 계획 마스터 테이블. 품목 계획 정보를 관리한다.,Item Plan master table. Manages item plan information.,재고,ITEM MASTER PLAN PO 계획 마스터 입고 재고 품목,품목 계획 조회|당일 품목 계획|재고 현황 조회
IM_ITEM_MASTER_PLAN_4_REQUIR,품목 계획 마스터 테이블. 품목 계획 정보를 관리한다.,Item Plan master table. Manages item plan information.,재고,ITEM MASTER PLAN REQUIR 계획 마스터 입고 재고 품목,품목 계획 조회|당일 품목 계획|재고 현황 조회
IM_ITEM_MASTER_PLAN_4_REQUIR_S,품목 계획 마스터 테이블. 품목 계획 정보를 관리한다.,Item Plan master table. Manages item plan information.,재고,ITEM MASTER PLAN REQUIR 계획 마스터 입고 재고 품목,품목 계획 조회|당일 품목 계획|재고 현황 조회
IM_ITEM_MFS_SHIPPING_4_COST,품목 MFS SHIPPING COST 테이블. 품목 관련 정보를 관리한다.,Item MFS SHIPPING table. Manages item mfs shipping information.,재고,COST ITEM MFS SHIPPING 입고 재고 품목,품목 정보 조회|품목 현황|재고 현황 조회
